# Starting test run
x y points n_ticks
417 495 28 205
4 7 16 479
253 580 20 352
58 203 16 369
141 329 16 358
235 313 14 362
212 576 27 220
798 556 12 243
14 509 32 187
587 435 0 100
779 217 29 422
764 61 20 257
171 587 18 219
693 565 12 252
618 387 24 277
540 457 20 219
19 453 18 410
762 80 30 239
651 76 14 257
585 131 26 270
379 3 0 100
331 383 18 277
451 388 26 340
763 43 16 224
397 125 22 467
138 155 16 370
479 204 31 543
505 309 16 276
409 140 28 304
52 368 18 220
195 531 32 105
87 434 39 306
713 140 28 235
684 374 20 274
272 225 16 376
452 315 18 337
756 510 24 222
111 559 22 252
453 24 14 229
561 137 24 277
114 356 22 281
222 355 14 181
333 138 18 301
691 309 14 322
321 409 8 260
782 281 14 289
468 267 16 341
311 157 0 100
473 170 16 304
157 272 24 287
762 565 30 233
493 142 20 207
544 393 22 457
582 333 18 296
310 417 20 273
654 392 16 283
191 493 28 306
154 151 22 316
85 217 27 250
194 479 26 264
611 516 20 373
308 44 22 224
717 212 24 243
352 577 26 205
742 291 30 463
589 237 26 267
470 223 24 471
377 90 31 245
454 268 4 182
156 338 14 330
170 51 25 422
787 249 14 340
303 173 22 340
737 129 12 320
365 558 20 265
636 122 22 246
742 163 18 320
84 555 26 317
424 162 24 364
242 470 26 229
432 578 22 198
320 290 6 199
679 402 16 251
591 528 22 353
601 239 20 280
257 401 18 220
526 99 14 273
112 128 0 100
431 35 14 219
377 98 12 228
574 131 8 287
97 492 24 234
248 208 2 119
493 212 28 319
547 242 10 256
351 537 26 215
469 102 20 264
211 205 12 382
752 60 18 257
795 88 26 232
125 397 18 236
579 242 12 309
384 178 10 197
799 0 34 487
360 599 18 217
784 146 24 449
48 532 18 227
687 210 28 227
430 333 12 326
775 472 33 304
523 48 0 100
123 312 19 306
511 519 24 213
461 77 0 100
539 552 22 188
36 144 20 241
17 433 22 232
437 480 28 371
162 52 0 100
221 396 14 282
571 427 16 275
319 36 0 100
783 414 14 222
471 243 18 231
257 505 20 416
534 380 10 215
291 335 22 293
591 226 16 264
715 360 20 235
153 386 33 215
579 87 20 271
245 274 24 343
494 485 28 236
466 286 8 205
348 75 18 232
618 202 10 254
619 257 22 380
672 284 0 100
7 100 22 365
673 4 0 100
90 131 28 240
751 222 25 216
646 118 29 265
265 211 31 319
298 395 18 328
712 474 26 249
681 250 28 442
709 483 24 240
326 382 20 205
786 213 26 380
252 110 22 217
294 501 22 393
487 417 14 249
477 386 8 311
567 28 12 207
379 264 30 311
431 576 8 212
527 378 14 384
425 439 10 212
539 451 30 201
790 372 24 314
247 307 22 284
517 409 16 268
428 220 16 293
51 50 14 251
287 9 16 220
614 20 28 468
29 209 34 237
374 272 16 316
284 310 0 100
486 60 26 371
526 351 16 196
209 93 0 100
120 113 22 336
696 33 24 244
655 236 28 304
84 2 20 239
7 211 18 380
14 298 12 338
66 240 29 255
470 429 26 263
696 285 20 315
206 484 18 247
413 238 16 270
324 387 14 201
148 595 10 196
689 585 4 193
70 471 31 243
540 563 16 191
86 588 8 305
794 384 14 303
687 246 20 244
499 412 26 283
137 581 24 223
237 44 8 246
713 262 24 233
694 421 6 249
67 539 29 222
240 404 32 207
278 16 0 100
795 552 33 217
719 487 28 229
489 373 16 255
544 554 26 227
168 10 22 240
416 494 32 121
617 595 2 190
619 558 24 208
246 408 16 272
383 169 14 390
538 17 14 237
266 214 6 170
288 491 32 247
267 443 12 200
547 441 20 257
293 163 20 318
10 16 23 257
122 444 24 427
445 50 16 273
667 201 28 359
734 574 26 459
76 142 28 248
238 519 26 195
558 448 14 278
622 493 22 219
360 194 22 278
393 434 8 223
355 391 20 177
510 86 22 366
92 19 33 251
71 111 18 245
473 368 12 300
672 415 18 270
67 275 20 336
19 550 29 228
699 538 28 219
268 277 26 370
334 464 26 459
159 188 18 187
226 164 24 327
258 323 4 194
331 216 20 324
267 107 22 469
606 552 28 191
279 539 28 237
405 451 12 249
243 283 10 230
127 581 26 288
464 279 14 220
661 346 22 234
413 550 22 184
335 148 16 310
458 275 0 100
64 160 26 258
63 513 32 144
81 62 26 241
633 480 26 263
416 344 4 167
224 571 29 273
599 474 22 250
689 581 20 215
407 35 16 300
543 355 22 280
268 151 22 287
297 408 12 234
585 567 20 200
604 459 26 266
2 224 28 364
63 516 28 228
353 518 28 201
613 192 30 277
437 444 10 205
164 459 26 321
165 547 18 310
30 195 18 226
412 570 20 206
426 175 20 251
110 525 22 348
449 530 28 225
575 229 20 202
194 205 20 271
692 308 24 235
81 25 20 315
508 575 24 304
70 209 20 261
641 456 22 227
177 560 20 392
792 465 16 233
770 572 16 224
3 519 27 329
141 111 28 278
724 54 30 369
165 459 28 283
236 257 18 331
190 150 32 133
510 229 14 292
527 503 12 232
128 311 20 354
301 477 27 332
270 367 22 281
572 109 12 244
35 31 30 264
425 306 18 335
209 584 16 294
637 101 30 247
350 398 22 238
682 270 24 324
469 356 22 441
505 357 8 290
717 250 24 267
783 468 12 222
550 209 12 288
339 386 16 379
676 536 20 264
76 479 22 228
664 544 20 239
434 231 26 400
108 117 18 254
794 183 18 290
600 449 30 272
753 253 22 229
589 426 22 286
221 521 18 263
509 351 0 100
784 159 20 262
217 590 0 100
312 214 20 320
715 96 14 286
562 197 28 291
235 399 12 187
25 408 26 238
784 421 16 241
369 350 22 187
308 150 26 321
199 233 8 394
768 240 24 350
350 335 22 268
331 134 8 207
338 40 8 216
10 501 23 493
444 409 18 412
533 346 22 301
507 460 20 220
48 216 20 301
798 314 4 194
163 236 28 275
184 107 20 243
409 229 20 282
282 67 22 225
446 76 10 392
176 526 26 259
145 364 20 317
546 504 22 268
670 12 20 248
719 505 28 232
548 200 20 318
719 60 20 319
151 472 28 468
205 363 22 318
450 57 8 206
401 360 12 188
556 164 12 266
509 488 24 244
3 278 8 184
570 507 20 264
735 364 18 382
29 208 26 332
249 490 30 312
26 76 10 244
72 71 26 254
766 38 31 238
280 235 26 347
334 422 10 179
131 6 16 274
765 227 28 419
634 203 20 331
81 287 26 280
637 483 28 389
448 222 26 281
627 84 26 261
113 205 31 236
685 493 28 236
370 303 18 211
191 477 20 285
340 531 20 269
163 494 33 312
765 437 20 297
16 114 24 257
571 310 4 211
340 413 24 337
477 470 0 100
381 432 12 288
203 147 31 296
352 247 16 363
23 482 33 296
481 3 0 100
242 438 26 268
535 26 14 241
573 115 30 245
542 567 24 198
553 137 16 268
702 215 14 243
600 479 26 250
780 63 24 250
610 415 26 269
511 377 28 272
728 247 20 394
228 421 28 284
223 378 16 230
384 84 22 290
244 144 28 383
318 325 22 363
494 45 6 212
405 132 22 258
680 202 8 244
631 182 24 276
349 244 28 229
13 297 18 318
533 98 8 263
507 195 18 313
111 187 27 507
651 340 18 260
300 425 22 337
604 156 26 265
143 357 26 360
254 529 30 228
443 145 24 330
290 227 12 262
719 491 28 283
21 575 20 224
350 119 16 258
345 255 4 184
15 594 22 381
456 46 28 446
138 261 0 100
555 279 14 306
147 529 28 272
95 391 26 251
288 195 24 299
572 431 0 100
142 445 14 263
86 19 26 266
688 486 27 228
797 171 0 100
311 13 6 230
670 383 14 230
590 78 18 226
562 540 30 230
333 440 28 275
602 141 31 513
326 333 22 253
167 361 20 279
103 416 18 258
358 110 20 266
98 161 22 254
82 468 29 387
787 400 14 226
538 166 28 311
216 594 8 263
135 67 28 308
270 311 8 307
236 26 8 220
773 569 20 223
438 484 27 202
758 284 28 223
147 293 20 280
144 334 10 229
274 231 16 238
608 425 16 249
259 294 8 271
382 142 16 321
441 180 28 331
361 458 18 199
660 251 30 465
549 319 16 207
37 505 32 215
25 47 28 418
304 347 22 302
151 195 25 302
135 111 28 248
686 166 18 262
208 479 26 220
278 296 6 194
45 273 27 315
601 298 14 326
373 102 14 314
387 535 16 257
29 128 26 330
533 500 32 119
356 299 16 192
567 493 25 619
47 374 24 254
488 148 26 493
229 315 32 443
202 424 20 171
434 164 16 288
693 544 14 238
241 360 0 100
41 484 22 228
597 282 14 280
55 75 18 235
130 93 22 244
186 399 28 402
659 558 20 185
529 271 26 306
340 199 12 227
185 212 20 288
448 250 16 205
442 179 30 290
634 583 18 318
99 124 26 251
721 359 29 243
243 596 0 100
625 509 24 240
654 295 14 247
525 126 16 267
747 194 26 280
789 132 18 254
631 502 10 275
614 449 24 247
209 371 0 100
47 387 18 221
546 163 24 352
367 71 0 100
84 318 18 272
289 184 30 477
666 528 26 225
376 53 24 225
219 546 28 195
256 401 22 393
313 517 24 278
584 185 12 224
367 411 26 193
390 495 14 233
428 502 30 389
398 304 28 330
199 436 18 228
527 245 2 143
555 119 23 428
200 570 24 213
18 355 14 257
98 82 22 242
462 530 32 186
120 407 30 296
681 361 18 222
257 448 24 271
440 331 10 207
493 568 22 196
203 456 24 264
692 492 26 226
651 33 24 249
528 66 16 375
222 30 8 233
53 326 23 296
373 379 14 204
275 154 29 597
111 35 28 250
100 167 24 257
199 436 26 292
182 390 12 321
232 486 18 204
319 297 12 197
289 316 2 193
252 298 22 319
64 396 30 331
148 355 18 283
725 568 22 244
261 539 22 269
307 58 14 280
743 507 32 119
123 12 29 402
13 19 0 100
513 572 16 182
745 81 22 264
796 558 26 288
343 404 28 364
395 164 24 349
389 484 28 225
693 274 2 166
650 301 18 264
654 192 16 262
261 33 30 317
758 55 20 257
799 5 20 224
282 168 10 234
81 74 26 241
641 55 32 206
22 354 6 211
695 99 27 245
105 457 27 273
373 377 26 348
339 418 12 304
800 390 8 216
320 424 16 234
397 83 20 307
321 149 8 289
301 189 24 229
376 515 30 308
84 361 24 255
663 403 28 424
15 598 6 199
291 548 22 199
458 452 28 319
321 299 26 341
783 251 30 447
145 570 22 207
690 195 22 300
308 351 20 304
320 549 26 206
320 510 29 429
426 374 26 256
628 143 26 197
575 53 18 227
56 90 18 246
181 302 0 100
527 180 8 284
711 439 16 236
569 586 22 307
370 385 4 179
294 153 10 272
450 585 20 209
488 358 22 339
555 162 20 318
659 314 22 269
566 387 8 227
486 388 12 209
447 13 18 214
479 366 10 198
474 282 28 205
470 245 26 467
665 377 8 222
398 377 16 173
770 376 27 484
58 295 16 235
298 92 24 271
679 243 22 300
666 593 26 266
645 456 30 313
573 533 28 216
470 510 16 388
310 155 18 205
748 304 20 254
222 412 14 245
161 68 22 360
374 479 26 420
268 212 31 306
106 395 24 248
114 548 20 236
755 352 10 239
116 427 24 235
775 184 34 439
348 143 20 502
762 495 28 232
105 478 24 236
323 133 24 470
518 31 20 245
82 492 30 260
760 79 8 243
553 199 22 278
175 419 26 245
596 222 20 299
238 137 24 289
232 125 26 236
320 311 0 100
693 277 24 368
116 314 24 234
786 327 14 296
525 383 18 360
107 146 26 253
149 176 18 361
270 551 24 462
730 362 26 244
7 180 8 246
393 263 28 389
276 142 10 244
642 406 30 247
681 249 18 275
681 20 0 100
689 312 10 245
149 222 26 309
211 408 14 267
794 254 26 529
757 569 18 187
250 582 14 286
175 399 26 291
98 593 2 188
612 203 20 294
270 28 26 528
752 394 20 298
315 382 18 327
265 405 12 204
143 513 24 275
48 472 32 377
758 515 27 310
673 559 24 209
350 124 12 275
392 89 10 211
439 116 18 264
277 203 8 308
773 275 27 425
646 488 28 231
480 509 20 374
397 214 28 365
114 554 20 212
270 76 20 407
61 47 28 508
493 261 14 197
478 343 18 323
416 56 14 317
436 55 0 100
461 261 24 342
62 260 22 262
512 424 12 177
594 113 22 263
118 117 28 266
687 483 28 258
105 328 22 273
535 553 28 262
146 240 20 396
403 464 22 336
629 31 24 249
39 93 22 236
159 379 2 194
240 350 12 236
193 53 30 401
116 202 26 245
555 170 22 335
295 122 20 284
52 365 18 229
19 152 0 100
460 100 4 242
446 462 26 218
648 200 0 100
544 146 0 100
328 438 31 354
341 410 20 272
183 138 0 100
639 60 30 247
797 315 22 340
141 42 6 256
567 57 28 242
376 490 24 236
206 426 0 100
467 576 28 211
657 174 32 333
36 340 26 365
68 114 28 255
81 8 26 333
282 350 8 172
1 529 29 488
35 2 0 100
754 15 28 245
325 553 16 191
139 407 22 229
706 543 33 213
141 125 20 265
760 34 14 249
538 463 24 262
692 182 24 436
744 91 16 270
229 316 10 286
464 86 20 331
138 558 16 198
327 186 20 277
289 374 6 167
583 456 26 341
758 87 0 100
21 489 26 239
69 365 27 224
182 183 24 237
492 191 24 324
114 305 24 300
52 57 2 101
134 64 26 241
90 148 20 255
293 597 18 445
111 535 28 309
669 288 22 408
677 589 28 226
535 262 25 198
499 389 10 188
148 346 20 265
292 432 24 387
41 321 10 221
21 257 22 325
129 403 18 347
345 403 22 343
298 54 8 219
211 273 22 287
759 353 18 323
113 116 26 244
461 142 18 324
300 358 16 328
241 440 20 277
252 52 30 267
564 425 28 390
47 263 22 293
16 190 20 370
340 95 22 311
785 229 10 231
102 434 14 242
113 90 30 401
201 532 30 236
308 479 26 207
182 29 16 248
120 203 16 307
3 390 6 244
726 225 26 224
169 330 12 238
290 436 24 261
44 285 22 207
48 72 24 231
216 510 30 210
25 563 26 289
514 450 20 262
154 65 20 258
459 26 14 321
333 576 25 264
32 457 12 262
603 105 28 246
585 297 24 303
767 65 16 223
599 15 12 230
325 28 24 426
264 404 14 262
122 218 24 306
383 170 22 307
239 510 26 269
724 447 27 241
713 251 24 230
408 410 14 313
634 132 24 359
683 191 26 235
619 111 20 246
705 244 30 242
764 251 22 242
510 306 8 212
784 142 18 285
171 263 26 272
522 205 22 325
383 178 28 393
683 332 28 240
604 203 22 349
655 323 6 236
126 158 0 100
480 105 12 239
330 130 0 100
168 452 20 332
287 296 29 297
579 442 24 420
764 277 22 235
522 106 20 550
340 586 12 187
66 366 20 232
264 127 22 252
755 196 14 411
151 334 18 287
115 275 29 316
421 117 16 244
1 428 36 491
368 444 24 234
593 371 22 283
139 557 30 219
402 299 26 351
71 340 27 255
477 224 21 465
570 437 22 249
318 151 22 312
361 241 6 166
219 511 16 308
602 284 18 340
656 590 22 276
727 376 37 221
611 587 12 272
735 446 28 229
122 500 26 244
305 178 31 389
771 202 20 295
37 293 14 219
525 392 20 286
713 569 24 217
458 543 28 202
774 311 0 100
743 74 26 235
200 577 23 612
557 489 30 226
320 448 30 364
416 218 22 253
396 588 20 192
591 312 22 350
276 83 0 100
715 519 22 268
598 21 8 214
263 434 16 454
319 166 2 101
165 485 26 268
737 38 24 240
352 322 22 306
46 401 20 431
431 189 20 362
160 318 4 205
445 111 10 301
202 380 16 238
508 507 24 218
762 174 18 253
723 442 30 435
303 580 4 161
351 218 4 206
573 93 28 340
741 244 28 259
697 324 30 202
276 283 14 301
399 58 16 297
386 522 22 212
770 475 26 420
544 495 23 379
302 110 20 326
74 399 20 259
744 554 28 305
162 282 28 512
663 107 22 266
345 295 18 318
771 527 14 208
94 594 14 224
660 210 26 281
529 493 30 273
332 200 14 199
38 563 24 221
638 362 22 295
656 543 36 231
96 313 16 397
78 254 20 287
701 147 22 252
604 36 16 275
414 84 24 376
170 22 26 467
209 233 20 315
79 443 30 231
392 274 20 281
734 526 30 238
688 557 10 203
115 268 26 252
343 257 30 288
117 377 24 364
501 98 24 262
422 584 20 225
745 188 24 232
649 533 28 260
273 564 18 212
450 434 12 201
423 477 12 226
263 516 24 219
585 167 28 281
175 35 0 100
555 238 18 274
289 474 27 231
467 186 14 283
487 311 24 311
507 136 16 348
545 512 26 431
208 361 0 100
533 418 22 298
211 138 24 290
20 312 29 235
589 312 27 546
631 261 20 245
598 524 20 222
267 523 27 214
239 109 23 285
756 90 20 231
112 67 28 407
800 595 2 177
614 338 26 399
23 165 26 458
315 11 16 231
60 297 28 253
475 165 22 236
53 104 30 446
768 40 12 265
32 285 26 235
575 259 24 453
44 313 30 224
696 328 24 279
149 463 20 259
535 61 8 248
32 12 20 252
161 49 26 389
684 271 32 370
615 106 20 509
120 252 22 265
463 229 26 321
309 503 28 225
602 349 18 244
663 127 22 260
500 287 18 298
649 420 20 354
476 239 29 335
571 74 31 370
41 364 22 450
730 71 20 265
528 509 26 226
476 135 22 243
354 445 24 318
521 500 24 286
432 313 4 165
364 382 16 251
618 164 14 271
752 565 26 251
194 23 26 429
163 531 24 431
39 134 28 252
523 449 2 148
566 137 18 296
695 126 30 311
579 596 31 409
562 359 22 337
428 58 12 225
667 202 26 265
640 276 32 191
570 289 27 221
632 189 24 260
273 206 24 444
20 132 23 259
361 277 2 199
354 583 8 186
4 51 0 100
600 285 20 375
598 333 32 196
266 497 30 236
407 106 18 355
799 175 39 198
15 75 18 242
753 333 26 215
107 19 20 344
22 67 22 248
149 168 0 100
709 598 4 226
508 541 26 269
35 437 35 476
541 565 22 208
488 104 28 328
610 239 18 257
414 442 18 302
757 349 6 296
482 505 28 283
713 162 0 100
392 505 26 336
73 357 26 469
284 100 20 296
70 401 26 269
9 436 26 273
251 305 20 235
145 223 26 421
304 388 8 293
609 323 0 100
41 206 20 291
708 510 24 234
498 583 8 193
483 316 24 191
28 142 24 447
250 334 20 291
800 103 4 226
217 127 22 265
618 526 22 241
545 265 33 418
659 405 18 227
700 219 22 237
651 481 14 268
755 462 18 238
783 468 28 448
753 168 18 257
514 119 23 313
95 387 18 233
667 555 24 491
643 57 28 332
512 68 22 247
489 70 21 229
158 455 32 169
676 257 16 265
52 393 28 459
705 519 26 243
236 1 0 100
399 456 22 275
33 541 16 223
114 480 28 242
317 260 14 278
268 30 14 221
411 368 10 168
473 162 16 303
320 546 31 214
58 564 18 215
772 431 18 255
439 392 14 349
667 262 24 245
311 329 14 291
454 79 16 467
493 46 10 207
621 163 16 295
533 456 14 345
480 307 6 141
316 179 30 321
426 399 14 233
692 150 20 243
429 488 18 222
44 93 28 264
664 393 24 253
395 359 10 307
7 505 26 215
374 349 16 273
437 190 2 161
16 538 26 448
160 86 16 260
188 157 22 250
719 176 26 266
217 578 18 275
595 161 26 304
460 476 30 307
684 262 27 257
40 7 14 227
220 402 6 180
593 450 22 281
560 532 20 207
380 94 0 100
460 329 22 330
724 376 14 274
653 197 28 308
258 223 24 297
245 292 24 344
181 454 30 364
388 576 14 176
494 305 26 311
53 561 20 233
184 148 0 100
418 148 26 487
761 35 20 251
333 401 12 189
82 398 23 257
707 143 29 237
355 383 6 168
608 178 16 287
177 569 28 297
325 37 16 226
586 108 16 262
317 572 19 473
168 11 22 301
142 450 24 256
158 92 27 241
563 198 24 295
56 165 29 229
798 197 16 306
483 533 26 196
263 382 18 285
56 279 22 218
615 198 18 365
766 185 20 276
791 203 20 222
250 36 18 288
700 495 28 300
555 225 30 458
101 469 28 263
572 437 22 273
72 301 18 381
205 261 10 201
90 131 26 248
37 552 21 215
51 19 23 231
215 24 0 100
459 555 28 226
436 147 20 316
262 388 28 377
331 325 18 277
676 155 18 274
12 164 29 315
298 363 8 177
703 514 20 231
757 110 26 295
8 193 2 101
323 144 20 229
798 143 16 434
104 284 26 361
321 121 22 389
22 399 14 269
173 287 22 238
725 3 28 294
46 115 24 387
524 278 20 307
554 19 18 223
92 587 29 250
471 298 12 263
691 22 2 101
521 586 22 208
614 160 18 307
763 368 14 312
8 391 27 321
791 350 27 251
393 162 18 316
786 449 20 234
301 135 16 352
438 262 16 455
232 290 28 326
640 194 27 285
146 584 31 420
479 172 26 321
575 227 16 282
250 553 32 138
452 94 18 232
547 165 22 277
192 578 22 284
502 573 22 329
52 124 22 259
345 166 18 490
735 573 35 158
341 358 2 176
790 125 24 251
12 7 0 100
87 547 28 207
616 434 12 256
656 239 24 311
453 1 0 100
738 188 27 313
715 273 10 189
391 515 24 215
364 433 4 227
479 196 16 273
71 392 20 369
404 309 6 179
545 476 24 241
726 585 24 216
81 141 18 255
662 177 22 271
533 333 28 348
231 434 30 269
407 188 20 295
350 231 28 329
270 461 28 336
80 261 28 442
788 229 28 533
688 527 24 202
203 399 24 255
570 584 18 217
395 472 12 214
577 210 24 296
711 549 24 244
779 11 14 375
390 6 12 194
347 225 24 370
757 371 21 268
675 128 30 272
17 108 22 273
604 199 18 296
661 175 30 257
543 68 0 100
274 385 22 247
686 123 26 255
710 480 26 208
646 9 22 316
745 206 16 344
77 304 18 237
397 155 26 339
113 541 30 221
613 343 8 186
183 487 22 235
388 500 28 274
129 257 28 309
354 441 27 211
434 304 10 261
113 283 20 301
699 428 12 232
726 166 26 264
581 464 26 229
172 80 26 248
640 428 26 234
160 226 28 469
795 195 14 238
73 549 18 231
727 78 28 398
461 99 24 473
509 363 18 287
257 323 22 331
88 312 0 100
166 146 16 296
559 38 30 495
690 40 24 266
291 117 14 314
453 414 24 235
57 425 14 241
414 273 20 344
233 258 18 232
501 6 0 100
295 324 10 189
33 98 24 317
734 448 20 242
481 332 19 195
164 364 22 248
52 302 20 294
398 45 26 242
478 407 30 205
306 580 24 502
553 140 28 399
774 349 26 225
764 277 22 232
527 507 14 281
43 435 26 253
165 107 26 269
209 190 24 252
220 194 22 267
102 476 28 303
23 52 33 192
414 106 28 442
195 498 12 224
66 582 14 214
469 6 18 219
459 181 8 235
55 357 16 437
434 214 0 100
269 387 22 361
529 299 14 331
280 143 28 262
400 77 22 260
209 136 22 266
396 566 18 193
26 91 0 100
481 492 18 200
378 239 26 221
302 269 20 220
659 582 28 205
134 447 31 464
731 391 16 226
521 261 18 272
475 124 20 307
566 56 20 309
579 65 24 250
784 140 18 416
116 63 29 318
661 484 28 359
527 470 24 200
743 293 14 214
12 59 16 248
534 138 22 279
114 546 33 174
42 64 24 433
205 450 22 214
387 501 26 292
494 302 14 189
244 65 10 256
643 287 14 327
41 3 23 252
303 201 18 341
653 399 26 265
387 5 0 100
719 375 16 278
369 262 24 339
498 491 32 140
244 434 25 275
729 206 22 366
596 367 30 316
48 367 24 232
794 203 10 203
492 493 26 219
318 453 4 168
687 180 20 404
345 70 2 196
582 283 20 265
580 594 18 214
357 304 20 262
25 563 29 224
252 60 20 305
333 572 26 341
395 203 28 360
580 294 22 298
531 168 34 239
356 535 6 167
663 329 24 378
573 537 26 220
728 308 18 469
300 568 31 380
327 479 20 221
666 260 22 254
12 117 0 100
205 594 16 340
533 471 26 326
655 510 35 124
645 299 22 248
371 551 22 214
533 88 22 384
422 333 12 290
451 371 22 217
92 43 20 262
193 23 27 438
788 124 8 269
74 237 24 402
494 75 22 247
593 369 6 293
127 387 18 214
223 220 24 325
753 244 16 261
144 11 0 100
587 335 30 337
492 124 16 248
706 566 26 200
244 198 14 338
776 480 10 215
710 219 28 239
6 154 8 226
75 522 30 330
194 196 24 341
751 514 29 231
415 316 12 193
192 323 22 302
565 394 26 358
403 569 22 201
381 188 24 386
522 483 28 358
50 373 10 206
111 60 16 251
69 41 30 302
514 143 18 228
117 123 20 405
99 558 28 193
288 578 10 190
571 352 22 214
548 424 24 276
586 315 24 315
1 260 12 228
762 132 31 254
266 573 26 217
259 583 16 222
360 104 20 226
87 491 32 259
799 559 34 143
164 310 8 225
706 119 29 285
682 562 22 209
321 575 26 203
491 14 0 100
396 277 26 358
663 210 8 246
383 385 12 309
324 501 32 186
441 511 32 245
378 477 26 201
172 380 18 261
2 236 18 405
475 584 20 375
788 457 32 363
90 1 25 240
233 104 18 362
395 170 30 318
129 322 24 390
33 540 32 227
474 9 0 100
443 577 24 205
165 370 16 251
800 225 0 100
537 206 20 300
139 289 20 306
642 384 28 405
508 496 0 100
429 263 26 204
593 153 0 100
156 367 14 207
140 157 20 403
310 534 26 281
543 529 22 297
417 296 4 276
417 122 26 231
194 298 28 346
333 97 16 264
504 451 0 100
523 352 32 321
339 87 12 221
761 337 14 202
799 261 18 248
395 439 24 224
696 306 6 252
6 478 26 449
252 597 16 177
386 242 14 302
324 450 10 265
372 116 26 288
215 556 14 237
267 409 18 334
620 362 19 271
220 467 4 232
550 98 12 227
530 492 24 229
328 144 0 100
176 439 22 257
114 363 18 249
459 210 18 277
587 313 12 233
75 249 16 222
130 533 28 228
624 49 26 233
228 341 18 280
123 508 24 241
294 212 20 322
415 564 12 187
289 285 24 357
612 167 22 376
630 315 22 281
442 390 24 211
369 488 24 209
312 339 12 218
359 24 16 234
150 277 24 280
378 133 30 344
190 266 10 258
616 30 30 253
437 290 26 214
682 435 20 260
720 76 24 236
61 400 20 235
92 40 24 228
257 524 24 281
335 137 22 269
362 485 26 223
7 559 14 237
626 118 10 280
663 351 22 214
299 138 24 382
48 458 24 252
545 40 26 434
625 92 30 280
336 101 28 246
624 28 0 100
604 369 20 288
200 321 20 231
308 319 10 306
511 591 26 542
492 574 22 223
707 108 28 257
122 257 22 246
93 540 22 238
441 394 10 264
319 396 12 186
719 63 22 247
492 358 18 270
707 521 24 246
608 98 20 262
489 305 22 292
685 452 33 274
397 516 20 385
601 564 22 221
402 186 28 405
529 443 24 316
152 84 20 257
22 101 18 260
673 270 26 263
153 103 31 258
86 182 24 253
631 490 30 283
616 454 26 218
46 105 20 245
745 296 19 198
761 316 26 412
233 486 22 204
712 234 20 297
49 395 26 247
774 254 12 230
66 465 32 132
502 276 24 361
129 236 12 253
382 504 28 187
82 553 28 226
88 557 26 289
760 572 20 221
690 297 20 270
294 189 29 235
121 98 26 262
629 227 22 254
132 227 2 101
532 240 24 407
503 354 16 321
319 548 30 397
204 175 14 289
416 193 24 356
33 523 24 236
441 314 14 187
708 486 22 235
375 20 4 194
370 433 14 231
537 95 30 302
611 42 28 467
758 48 27 248
191 32 12 236
570 431 16 231
771 55 18 231
81 189 28 245
33 376 28 290
179 418 26 287
643 129 18 237
236 547 26 341
229 14 22 244
266 366 18 278
631 552 22 381
265 107 14 319
708 266 24 294
615 124 26 257
103 599 4 188
592 82 22 283
477 319 20 356
555 32 18 408
170 356 26 311
428 332 10 222
146 293 10 211
12 79 0 100
392 62 26 306
702 294 29 325
349 547 26 371
52 394 16 257
550 380 24 234
535 140 22 333
555 258 26 304
51 365 20 247
550 497 24 293
480 33 18 226
614 92 26 335
698 134 30 234
792 105 10 231
67 197 27 261
694 437 28 250
538 354 10 222
564 105 16 264
336 312 20 264
289 128 0 100
690 103 22 236
437 582 16 205
442 452 24 291
172 2 12 319
354 539 26 200
687 229 22 260
743 511 22 283
52 198 24 256
747 343 12 257
281 169 18 370
346 570 18 213
678 427 20 389
514 425 10 216
159 155 26 268
783 566 22 279
544 409 22 303
14 95 10 238
544 93 14 269
607 50 28 498
302 588 20 286
360 399 10 229
620 331 4 245
284 560 22 213
607 336 28 284
332 371 26 294
797 81 26 239
378 391 22 333
403 297 25 215
98 36 28 237
189 314 0 100
775 482 22 219
533 75 18 254
560 111 28 370
170 569 12 195
7 145 10 252
42 354 16 252
340 573 28 333
213 514 14 350
273 323 22 299
332 220 18 269
436 145 12 310
383 133 18 232
775 260 22 375
142 64 30 261
662 61 30 268
333 180 8 216
160 250 20 277
297 434 26 213
596 194 8 209
354 475 20 409
214 156 26 379
775 597 21 232
309 459 16 208
722 104 22 309
675 224 8 216
736 400 26 273
171 453 26 356
694 328 20 240
536 8 8 225
212 226 24 307
672 140 26 238
337 140 26 456
23 533 16 261
779 383 29 447
345 143 24 342
258 462 14 277
303 286 2 165
473 76 24 291
290 245 20 341
792 269 20 403
371 572 30 360
467 490 32 110
659 22 31 473
693 350 14 245
48 93 22 233
208 364 2 101
15 323 31 459
507 15 16 224
527 329 16 264
537 38 16 234
739 231 23 235
592 500 30 438
661 216 20 376
274 560 16 213
602 200 26 312
581 58 24 299
780 600 26 220
176 107 27 323
759 303 28 242
782 578 10 296
5 307 20 214
377 53 24 450
751 449 10 236
265 468 20 334
466 301 0 100
560 106 0 100
610 15 32 333
741 130 24 242
250 512 28 258
40 510 24 338
390 274 18 276
603 565 14 192
543 462 26 241
510 406 28 458
230 104 18 276
249 393 18 281
40 503 14 245
272 37 20 268
453 359 30 327
153 267 24 301
358 297 24 322
136 388 28 303
191 62 0 100
640 251 24 297
197 189 22 289
536 265 24 426
700 148 28 255
153 121 16 279
572 413 28 292
90 50 28 323
609 518 22 228
379 69 8 247
